feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__Vescimonas_coprocola,2,1.6392785571142285,0.0,0.8216432865731462,0.0,0.8176352705410822,0,1,0,1
s__Faecalibacterium_prausnitzii,2,1.6212424849699398,0.0,0.7955911823647295,0.0,0.8256513026052104,0,1,0,1
s__Dorea_sp_AF24_7LB,2,1.6092184368737477,0.0,0.6753507014028056,0.0,0.9338677354709419,0,1,0,1
s__GGB38744_SGB14842,2,1.6052104208416833,0.0,0.6172344689378757,0.0,0.9879759519038076,0,1,0,1
s__Dialister_invisus,2,1.6052104208416833,0.0,0.6372745490981964,0.0,0.9679358717434869,0,1,0,1
s__Coprococcus_comes,2,1.5991983967935872,0.0,0.5991983967935872,0.0,1.0,0,1,0,1
s__GGB9770_SGB15390,2,1.5951903807615229,0.0,0.6993987975951903,0.0,0.8957915831663327,0,1,0,1
s__Mediterraneibacter_glycyrrhizinilyticus,2,1.5871743486973948,0.0,0.6492985971943888,0.0,0.9378757515030061,0,1,0,1
s__Adlercreutzia_equolifaciens,2,1.5811623246492985,0.0,0.8236472945891784,0.0,0.7575150300601202,0,1,0,1
s__Dorea_sp_AF36_15AT,2,1.5791583166332666,0.0,0.7735470941883767,0.0,0.8056112224448898,0,1,0,1
s__Desulfovibrio_piger,2,1.5771543086172346,0.0,0.7775551102204409,0.0,0.7995991983967936,0,1,0,1
s__Dorea_formicigenerans,2,1.5691382765531063,0.0,0.8096192384769539,0.0,0.7595190380761523,0,1,0,1
s__GGB9534_SGB14937,2,1.5691382765531061,0.0,0.9478957915831663,0.0,0.6212424849699398,0,1,0,1
s__Clostridiaceae_bacterium_Marseille_Q4145,2,1.565130260521042,0.0,0.7555110220440882,0.0,0.8096192384769539,0,1,0,1
s__Clostridiaceae_bacterium_AF18_31LB,2,1.559118236472946,0.0,0.7234468937875751,0.0,0.8356713426853708,0,1,0,1
s__Lachnospiraceae_bacterium,2,1.5531062124248498,0.0,0.6693386773547094,0.0,0.8837675350701403,0,1,0,1
s__GGB2977_SGB3959,2,1.5511022044088176,0.0,0.7755511022044088,0.0,0.7755511022044088,0,1,0,1
s__Alistipes_shahii,2,1.5470941883767537,0.0,0.9198396793587175,0.0,0.6272545090180361,0,1,0,1
s__Holdemania_filiformis,2,1.5430861723446894,0.0,0.623246492985972,0.0,0.9198396793587175,0,1,0,1
s__Intestinimonas_butyriciproducens,2,1.535070140280561,0.0,0.6032064128256514,0.0,0.9318637274549099,0,1,0,1
s__GGB2983_SGB3965,2,1.529058116232465,0.0,0.905811623246493,0.0,0.623246492985972,0,1,0,1
s__GGB9715_SGB15267,2,1.5270541082164328,0.0,0.685370741482966,0.0,0.8416833667334669,0,1,0,1
