feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K07030,4,2.391994046882151,0.6278659611992945,0.6816816816816818,0.39575971731448767,0.6866866866866868,1,1,1,1
K17828,4,2.354534915194515,0.9858906525573192,0.2542542542542543,0.5618374558303887,0.5525525525525525,1,1,1,1
K07098,4,2.352143663097727,0.7777777777777778,0.995995995995996,0.15194346289752647,0.4264264264264265,1,1,1,1
K06871,4,2.345996172851297,0.962962962962963,0.9669669669669669,0.017667844522968212,0.3983983983983984,1,1,1,1
K00821,4,2.323709710046577,0.5961199294532629,0.8818818818818819,0.21908127208480566,0.6266266266266266,1,1,1,1
K05349,4,2.2768639411748954,0.7724867724867726,0.9309309309309309,0.2791519434628975,0.2942942942942943,1,1,1,1
K03686,4,2.2453986882726578,0.3686067019400353,0.4814814814814815,0.519434628975265,0.8758758758758759,1,1,1,1
K16213,4,2.205536345701246,0.26102292768959434,0.5945945945945945,0.8904593639575972,0.45945945945945943,1,1,1,1
K02124,4,2.194794996915138,0.671957671957672,0.5445445445445445,0.4487632508833922,0.5295295295295295,1,1,1,1
K24568,4,2.166106372231225,0.41622574955908287,0.7017017017017018,0.0742049469964664,0.973973973973974,1,1,1,1
K03307,4,2.133472358442912,0.6948853615520283,0.31831831831831836,0.8409893992932862,0.2792792792792793,1,1,1,1
K01868,4,2.0943381544088258,0.14814814814814814,0.8408408408408409,0.3816254416961131,0.7237237237237237,1,1,1,1
K23102,4,2.088248773761141,0.5026455026455027,0.7147147147147147,0.7667844522968198,0.10410410410410409,1,1,1,1
K01972,4,1.973731934862677,0.5714285714285714,0.8178178178178178,0.10600706713780916,0.47847847847847846,1,1,1,1
K03169,4,1.892780210801412,0.7354497354497355,0.13013013013013008,0.31448763250883394,0.7127127127127126,1,1,1,1
K00067,4,1.877581940008324,0.9382716049382716,0.6086086086086087,0.1024734982332155,0.2282282282282282,1,1,1,1
K13038,4,1.8239715401081713,0.8483245149911817,0.23523523523523526,0.13780918727915192,0.6026026026026026,1,1,1,1
K00817,4,1.7530786718065872,0.6243386243386244,0.43243243243243246,0.1307420494699647,0.5655655655655656,1,1,1,1
K23749,4,1.6451073317975555,0.13051146384479717,0.8428428428428428,0.12720848056537104,0.5445445445445445,1,1,1,1
K00096,4,1.6422611404943561,0.5132275132275133,0.4864864864864865,0.4593639575971732,0.18318318318318316,1,1,1,1
K08384,4,1.5215833366598974,0.11816578483245155,0.8638638638638638,0.4134275618374559,0.12612612612612617,1,1,1,1
K10709,4,1.4219882005512159,0.07760141093474426,0.45245245245245247,0.24028268551236753,0.6516516516516517,1,1,1,1
K02119,4,1.3943954049961116,0.21164021164021163,0.31431431431431434,0.2438162544169611,0.6246246246246246,1,1,1,1
K23746,4,1.3918099489359796,0.2716049382716049,0.12112112112112117,0.48056537102473496,0.5185185185185186,1,1,1,1
K01652,4,1.3082220702950973,0.4091710758377425,0.4564564564564565,0.19434628975265023,0.2482482482482482,1,1,1,1
K01937,4,1.295958418455474,0.34038800705467376,0.39239239239239243,0.4840989399293286,0.07907907907907907,1,1,1,1
K07720,4,1.0959114928490665,0.16754850088183426,0.05905905905905906,0.46289752650176674,0.40640640640640646,1,1,1,1
K02118,4,1.0741311730711023,0.5502645502645502,0.2282282282282282,0.27561837455830385,0.020020020020020013,1,1,1,1
K03572,4,0.5160588823721922,0.0017636684303351524,0.29829829829829835,0.09187279151943462,0.1241241241241241,1,1,1,1
K00602,3,2.95995995995996,1.0,0.972972972972973,0.0,0.986986986986987,1,1,0,1
K00262,3,2.907574240907574,0.9876543209876543,0.985985985985986,0.0,0.933933933933934,1,1,0,1
K01733,3,2.8737785404452074,0.9118165784832452,0.984984984984985,0.0,0.9769769769769769,1,1,0,1
K00286,3,2.8473235139901805,0.9594356261022927,0.8938938938938938,0.0,0.993993993993994,1,1,0,1
K07139,3,2.8336431669765,0.8606701940035273,0.9819819819819819,0.0,0.990990990990991,1,1,0,1
K15742,3,2.7959864626531292,0.8430335097001764,0.982982982982983,0.0,0.96996996996997,1,1,0,1
K02564,3,2.7752037752037753,0.9153439153439153,0.974974974974975,0.0,0.8848848848848849,1,1,0,1
K02837,3,2.7738691072024406,0.9770723104056438,0.8588588588588588,0.0,0.9379379379379379,1,1,0,1
K00969,3,2.7644310977644313,0.8765432098765432,0.9119119119119119,0.0,0.975975975975976,1,1,0,1
K20930,3,2.761809428476095,0.7848324514991182,0.997997997997998,0.0,0.978978978978979,1,1,0,1
K01710,3,2.7373564040230707,0.7954144620811288,0.980980980980981,0.0,0.960960960960961,1,1,0,1
K03524,3,2.7334477334477336,0.8835978835978836,0.8978978978978979,0.0,0.9519519519519519,1,1,0,1
K00930,3,2.727012727012727,0.8941798941798942,0.8678678678678678,0.0,0.964964964964965,1,1,0,1
K10240,3,2.723180693734286,0.8589065255731922,0.0,0.9893992932862191,0.8748748748748749,1,0,1,1
K03152,3,2.702512035845369,0.9717813051146384,0.7887887887887888,0.0,0.9419419419419419,1,1,0,1
K24569,3,2.6899280232613565,0.8130511463844797,0.94994994994995,0.0,0.9269269269269269,1,1,0,1
K02113,3,2.6836360169693503,0.8818342151675485,0.92992992992993,0.0,0.8718718718718719,1,1,0,1
K16032,3,2.6406406406406404,0.7407407407407407,0.9099099099099099,0.0,0.98998998998999,1,1,0,1
