feature,mi_score
K21038,0.030654625565028182
K03587,0.030604679766001563
K19824,0.030416399792262405
K06949,0.03037218656475793
K10206,0.030347743128936733
K01190,0.030339722710457817
K06987,0.030261851298172493
K02952,0.029777700032771248
K04095,0.02972783670165824
K21352,0.029600403371099926
K06158,0.029516531802852963
K03086,0.029418828580150214
K05832,0.029297826896648393
K21593,0.02928489133683798
K03043,0.029248859660181425
K16926,0.029211136966208473
K07075,0.029161302541373946
K03498,0.029104848578670017
K02078,0.02909178294060455
K19958,0.028910352681049245
K06187,0.028847380352451824
K07775,0.028527951517398176
K02036,0.0282852110402827
K03502,0.028197422671244032
K01923,0.02819167032174197
K06283,0.028180614743977594
K01740,0.028147559340131023
K09704,0.027996234970056433
K02874,0.02797932479689602
K02029,0.027757089073741303
K07042,0.027674334648156274
K03892,0.027584349401921227
K01243,0.027520338147652312
K00793,0.027394117180438604
K02892,0.02720183261315401
K07706,0.027171726723673073
K02823,0.02676114193808865
K21570,0.02659580822496066
K03438,0.026421131832453648
K21586,0.026210520684342153
K00459,0.026189361288182722
K08602,0.02563470760852904
K02907,0.02547755437233179
K11690,0.02542776755783893
K07486,0.02539634643266786
K01883,0.02535099248106376
K02899,0.025285751009572532
K02897,0.02525005175512307
K02876,0.02491181938564102
K00919,0.024897236167932713
K01151,0.02471291528048658
K18345,0.024523781497603148
K03424,0.024384593513745667
K12132,0.024379780618308144
K09022,0.02422872660695985
K01839,0.02420534992917145
K19055,0.024011330985152624
K03665,0.02364835484092631
K03465,0.023548107865679402
K00854,0.02325011303643465
K03501,0.0232255239953012
K16395,0.02308063552320716
K20340,0.02307950392740632
K03687,0.023009612795934276
K04759,0.022969779943601276
K02996,0.02271401718783883
K01803,0.022673665722854563
K14746,0.022671232718051382
K07105,0.022654123377944924
K00799,0.022639092112913373
K01493,0.022415270795342446
K24041,0.022300281617853246
K07056,0.02224074913644558
K00954,0.022052641526462802
K03655,0.021900523934088145
K19960,0.021883281786186037
K07478,0.02185971251919594
K02395,0.021832664743986152
K04041,0.021605837173408693
K06442,0.0215866000447964
K14373,0.021556638686709872
K20615,0.021531744026560107
K07001,0.021507830434776887
K00560,0.02139999131039394
K07058,0.021261317688264336
K19699,0.021259511045832458
K05349,0.02120425351669719
K16511,0.021096884320705778
K06959,0.02088737161119303
K21221,0.020744271077467458
K03571,0.020696185482506957
K03550,0.0206191791555006
K07107,0.02061302211809357
K01918,0.02060122835629974
K23775,0.020423107865679357
K01778,0.020401572687893887
K00425,0.020177303322999718
K01869,0.02017020683152837
K21175,0.020026709858829372
K16833,0.02001078870336004
K02600,0.019883181935128613
K03307,0.0198657080895297
K02601,0.01984891354148499
K16110,0.01982853461485612
K05540,0.019819255699327076
K01886,0.019799859586181023
K02926,0.019752337663659025
K03151,0.01962983285365416
K05515,0.019570590508953156
K07322,0.01940210918843044
K00651,0.019346565773512348
K16116,0.01930097314374768
K00800,0.0192437750457215
K19651,0.019161334338280822
K25232,0.019121169063740506
K01870,0.019057358453054674
K11912,0.01900813106007737
K02838,0.018869395374466746
K00134,0.018851733638055146
K01495,0.01882346329728457
K15237,0.018701532361934836
K07499,0.01842710040092177
K03495,0.01842634883767036
K21071,0.018109073520394814
K21673,0.01810790281609931
K02372,0.01765359728366911
K02501,0.017275180935583334
K02761,0.01705049668056824
K00945,0.017004766947338323
K03737,0.016954896338099656
K00931,0.01693408899232418
K02919,0.016830895679717184
K01652,0.016785830790902567
K00677,0.0167361987100203
K25706,0.016707331539608683
K01449,0.01666968536225677
K03574,0.016652515032586468
K01752,0.01663650095407232
K19762,0.01661805449720677
K09747,0.016525876624698066
K14441,0.01643308746940897
K02357,0.016433058563130043
K01154,0.01619067941450103
K00783,0.01590635725517897
K00075,0.015634739405435694
K20852,0.01541720520352663
K19689,0.015258697623143913
K26078,0.01524674487681632
K09787,0.01508663299795443
K01284,0.015031725521172046
K00558,0.014979679766001563
K16003,0.014877380444952015
K00067,0.0148478093216311
K02933,0.014829598365919905
K00831,0.01469807479689611
K00986,0.014531112129933854
K18707,0.0144387480669812
K20548,0.01437568306825443
K07780,0.014375538536860244
K01812,0.014335069746391094
